Source,Target,Weight,Season
阿紫,室里,24,1
耶律洪基,蕭峰,71,1
耶律洪基,阿紫,16,1
耶律涅魯古,馬大元,1,1
耶律涅魯古,耶律重元,2,1
馬大元,耶律重元,1,1
耶律洪基,馬大元,2,1
耶律涅魯古,耶律洪基,1,1
耶律洪基,耶律重元,1,1
丐幫,耶律洪基,2,1
耶律洪基,耶律莫哥,1,1
耶律莫哥,蕭峰,5,1
丐幫,耶律莫哥,2,1
游駒,蕭峰,3,1
游坦之,蕭峰,43,1
游坦之,阿紫,161,1
阿朱,游坦之,6,1
游坦之,游駒,4,1
游坦之,喬峰,8,1
游坦之,室里,15,1
游驥,蕭峰,1,1
游驥,阿紫,1,1
游駒,阿紫,2,1
白世鏡,趙錢孫,1,1
白世鏡,譚婆,1,1
白世鏡,游坦之,1,1
白世鏡,譚公,1,1
丐幫,游坦之,37,1
趙錢孫,游坦之,1,1
譚婆,游坦之,1,1
游坦之,譚公,1,1
游坦之,宋長老,5,1
朱丹臣,全冠清,3,1
傅思歸,全冠清,1,1
全冠清,古篤誠,2,1
白世鏡,段譽,1,1
朱丹臣,蘇星河,4,1
蘇星河,段譽,19,1
蘇星河,全冠清,2,1
阮星竹,丐幫,1,1
阮星竹,傅思歸,1,1
阮星竹,馬大元,1,1
丐幫,傅思歸,3,1
傅思歸,馬大元,1,1
段譽,游坦之,24,1
游坦之,全冠清,21,1
天狼子,游坦之,1,1
天狼子,全冠清,2,1
天狼子,阿紫,2,1
全冠清,阿紫,13,1
摘星子,丁春秋,2,1
丐幫,丁春秋,26,1
丁春秋,阿紫,52,1
丁春秋,喬峰,4,1
丐幫,天狼子,1,1
天狼子,丁春秋,1,1
丁春秋,全冠清,11,1
丁春秋,游坦之,62,1
虛竹,玄悲,3,1
